combo,disc,id,n,dens,diameter,ev1,ev2,spec_gap,mgap,modularity,core,assort,ccoef,glob_eff
degree-eigenvector,16,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
betweenness-closeness,44,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
betweenness-eigenvector,59,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
closeness-eigenvector,23,movie_341,31,0.16989247311827957,5,8.335233346604024,3.5912542646147534,0.43085227674854687,0.22784810126582278,0.3305560006409229,0.7090578159410718,-0.32401425145472174,0.4278996865203762,0.7278195686876902
degree-betweenness,6,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
degree-closeness,0,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
degree-eigenvector,3,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
betweenness-closeness,7,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
betweenness-eigenvector,12,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
closeness-eigenvector,11,movie_342,28,0.17724867724867724,3,8.42612801188675,2.6107023019038267,0.3098341608649792,0.07462686567164178,0.21875696146134996,0.8610597121752999,-0.5474312008136426,0.37327188940092165,0.5993227407513123
