combo,disc,id,n,dens,diameter,ev1,ev2,mgap,param
degree-closeness,929713,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
degree-eigenvector,994686,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
betweenness-closeness,1220168,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
betweenness-eigenvector,1313234,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
closeness-eigenvector,306796,6,5000,0.0012408081616323264,9,7.345877190523961,5.429699004476153,0.9921970722899336,0.00125
degree-betweenness,36798,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
degree-closeness,648290,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
degree-eigenvector,670677,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
betweenness-closeness,974429,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
betweenness-eigenvector,1038630,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
closeness-eigenvector,259490,6,5000,0.002496899379875975,6,13.556766840575225,7.312502261578919,0.9906104790898894,0.0025
degree-betweenness,17646,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
degree-closeness,484363,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
degree-eigenvector,474226,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
betweenness-closeness,869555,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
betweenness-eigenvector,923363,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
closeness-eigenvector,315997,6,5000,0.005009801960392079,4,26.074733835202256,10.169824459594171,0.9867593036256189,0.005
degree-betweenness,149365,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
degree-closeness,938701,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
degree-eigenvector,1025459,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
betweenness-closeness,1245595,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
betweenness-eigenvector,1367010,6,5000,0.001252650530106021,9,7.437174422563631,5.490654082652652,0.9915681890769722,0.00125
